marka,seri,model,kasa_tipi
Fiat,Linea,1.4 Fire Actual,Sedan
BMW,1 Serisi,116d Joy Plus,Hatchback/5
BMW,1 Serisi,116i Standart,Hatchback/5
BMW,3 Serisi,320i Edition M Sport,Sedan
BMW,3 Serisi,320i ED Modern Line,Sedan
BMW,5 Serisi,525d xDrive Premium,Sedan
Fiat,Linea,1.3 Multijet Active,Sedan
Ford,Focus,1.5 TDCi Titanium,Sedan
Honda,Civic,1.6i VTEC Elegance,Sedan
Honda,Civic,1.6i VTEC ECO Elegance,Sedan
Hyundai,Getz,1.5 VGT Start,Hatchback/5
Opel,Astra,1.4 T Sport,Hatchback/5
Renault,Clio,1.5 dCi Authentique,Hatchback/5
Renault,Megane,1.5 dCi Touch,Hatchback/5
Renault,Symbol,0.9 TCe Joy,Sedan
Volkswagen,Golf,1.2 TSi Comfortline,Hatchback/5
Volkswagen,Passat,1.6 FSi Comfortline,Sedan
Chevrolet,Aveo,1.4 SE,Hatchback/5
Chevrolet,Cruze,1.6 LS,Sedan
Chevrolet,Cruze,1.6 LT,Hatchback/5
Citroen,C-Elysée,1.5 BlueHDI Feel Bold,Sedan
Citroen,C-Elysée,1.2 VTi Exclusive,Sedan
Citroen,C-Elysée,1.6 HDi Live,Sedan
Citroen,C-Elysée,1.5 BlueHDI Shine,Sedan
Citroen,C4 Picasso,1.6 e-HDi Intensive,MPV
Audi,A5,A5 Coupe 2.0 TDI Quattro,Sedan
BMW,5 Serisi,520d Premium,Sedan
BMW,5 Serisi,520i Special Edition Luxury Line,Sedan
Fiat,500 Ailesi,500E La Prima,Hatchback/3
Opel,Astra,1.4 T Edition Plus,Sedan
Renault,Fluence,1.5 dCi Touch,Sedan
Renault,Megane,1.5 Blue DCI Joy,Sedan
Toyota,Corolla,1.8 Hybrid Dream,Sedan
Volkswagen,Jetta,1.2 TSi Comfortline,Sedan
Volkswagen,Polo,1.0 TSi Life,Hatchback/5
Ford,Focus,1.6 TDCi Trend X,Sedan
Honda,Civic,1.6i VTEC Eco Elegance,Sedan
Audi,A3,A3 Sportback 30 TFSI Dynamic,Hatchback/5
Fiat,Linea,1.3 Multijet Pop,Sedan
Ford,Fiesta,1.4 TDCi Comfort,Hatchback/3
Ford,Focus,1.5 EcoBlue Titanium X,Sedan
Hyundai,Getz,1.5 CRDi Active,Hatchback/5
Audi,A4,A4 Sedan 45 TFSI Quattro S Line,Sedan
Audi,A4,A4 Sedan 40 TDI Advanced,Sedan
Chevrolet,Cruze,1.6 Sport,Hatchback/5
Citroen,C-Elysée,1.6 HDi Shine,Sedan
Opel,Astra,1.2 T Edition,Hatchback/5
Opel,Astra,1.3 CDTI Essentia,Hatchback/5
Opel,Vectra,2.0 GLS,Sedan
Seat,Leon,1.5 EcoTSI FR,Hatchback/5
Skoda,Fabia,1.4 TDI Special,Hatchback/5
Skoda,SuperB,1.6 TDI Prestige,Sedan
Skoda,SuperB,1.5 TSI Prestige,Sedan
Volkswagen,Golf,1.6 FSi Goal,Hatchback/5
Volkswagen,Jetta,1.6 TDi Comfortline,Sedan
Volkswagen,Passat,1.4 TSi BlueMotion Trendline,Sedan
Volkswagen,Polo,1.4 TDi Comfortline,Hatchback/5
Volvo,S40,1.6,Sedan
Audi,A4,A4 Sedan 2.0 TDI Design,Sedan
Audi,A6,A6 Sedan 2.0 TDI,Sedan
Citroen,C3,1.2 PureTech Feel,Hatchback/5
Citroen,C4 X,1.2 PureTech Feel Bold,SUV
Opel,Astra,1.5 D Edition,Hatchback/5
Citroen,C4,1.4 VTi Attraction,Hatchback/5
Fiat,Egea,1.3 Multijet Urban Plus,Sedan
Fiat,Egea,1.6 E-Torq Urban,Sedan
Fiat,Egea,1.6 Multijet Easy Plus,Sedan
Fiat,Panda,1.2 Dynamic,Hatchback/5
Fiat,Punto,1.4 Easy S&S,Hatchback/5
Fiat,Punto,Grande 1.4 Fire Active,Hatchback/5
Hyundai,Accent Era,1.5 CRDi-VGT Select,Sedan
Hyundai,i20,1.4 MPI Elite,Hatchback/5
Hyundai,i30,1.6 GDi Elite,Hatchback/5
Kia,Rio,1.4 CVVT Elegance,Hatchback/5
Renault,Symbol,1.5 dCi Authentique,Sedan
Skoda,SuperB,1.4 TSI Active,Sedan
Toyota,Corolla,1.4 D-4D Advance,Sedan
Toyota,Corolla,1.8 Hybrid Flame X-Pack,Sedan
Volkswagen,Passat,1.4 TSi Comfortline,Sedan
Volkswagen,Passat,1.6 TDi BlueMotion Impression,Sedan
Audi,A5,A5 Sportback 40 TDI Quattro Advanced,Coupe
Chevrolet,Kalos,1.4 SX,Hatchback/5
Chevrolet,Lacetti,1.4 SE,Hatchback/5
Citroen,AMİ,My Ami Pop,Coupe
Citroen,C4,1.6 HDi Confort,Hatchback/5
Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,Hatchback/5
Chevrolet,Aveo,1.2 SE,Hatchback/5
Ford,Focus,1.6 TDCi Ghia,Sedan
Kia,Rio,1.4 CRDi Natty,Hatchback/5
BMW,3 Serisi,320i ED M Plus,Sedan
Chevrolet,Kalos,1.2 SE,Hatchback/5
Toyota,Auris,1.33 Life,Hatchback/5
Ford,Focus,1.6 Ti-VCT Trend X,Sedan
Ford,Focus,1.6 Ti-VCT Style,Hatchback/5
Hyundai,i20,1.4 CRDi Style,Hatchback/5
Opel,Corsa,1.2 T Elegance,Hatchback/5
Opel,Insignia,1.6 CDTI Grand Sport Enjoy,Hatchback/5
Renault,Clio,1.0 SCe Joy,Hatchback/5
Renault,Taliant,1.0 T Joy,Sedan
Volkswagen,Golf,1.0 eTSI Life,Hatchback/5
Volkswagen,Passat,2.0 TDi BlueMotion Comfortline,Sedan
Audi,A4,A4 Sedan 1.4 TFSI Design,Station wagon
Audi,A5,A5 Sportback 2.0 TDI,Hatchback/5
Audi,A6,E-Tron,Hatchback/5
Chevrolet,Cruze,1.6 LT Plus,Hatchback/5
Citroen,C4,1.2 PureTech Shine,SUV
Citroen,C4,1.6 e-HDi Confort Plus,Hatchback/5
Citroen,C5,1.6 e-HDi Dynamique,Sedan
Fiat,Punto,EVO 1.3 Multijet Active,Hatchback/5
Fiat,Uno,70 S,Hatchback/3
