marka,seri,model,kasa_tipi
Mercedes - Benz,GLA,200 AMG,SUV
Hyundai,ix35,1.6 GDI Style,SUV
Honda,CR-V,1.5 VTEC Executive,SUV
Jeep,Avenger Electric,Summit,SUV
Skoda,Karoq,1.5 TSI Premium,SUV
Hyundai,Elantra,1.6 CRDi Style Plus,Sedan
Suzuki,S-Cross,1.4 Hybrid GL Elegance,Crossover
Dacia,Duster,1.5 dCi Laureate,SUV
Seat,Ateca,1.4 EcoTSI Xcellence,SUV
Mercedes - Benz,B,B 180 CDI BlueEFFICIENCY Style,MPV
Honda,Jazz,1.4 LS Sport,Hatchback/5
Audi,A3,A3 Sportback 30 TFSI Advanced,Hatchback/5
Fiat,Linea,1.3 Multijet Actual Plus,Sedan
Volkswagen,Tiguan,2.0 TDI Comfortline,SUV
Renault,Clio,1.4 RNA,Sedan
Renault,Symbol,1.4 Expression,Sedan
Toyota,Corolla,1.5 Vision,Sedan
Dacia,Logan,1.4 Laureate,Sedan
Volkswagen,Touareg,3.2 V6,SUV
Skoda,Octavia,1.6 TDI Ambition,Hatchback/5
Skoda,Forman,LX,Station wagon
Fiat,Uno,70 S,Hatchback/5
Chery,Tiggo 7 Pro,1.6 TGDI Luxury,SUV
Hyundai,Tucson,1.6 CRDi Style Plus,SUV
Dodge,Challenger,SE,Coupe
Cupra,Terramar,1.5 e-TSI Supreme,SUV
Fiat,500 Ailesi,500 1.2 Vintage,Hatchback/3
BMW,1 Serisi,118i Standart,Hatchback/5
Nissan,Qashqai,1.5 dCi Visia,SUV
Dacia,Duster,1.3 Tce Prestige Plus,SUV
Volkswagen,Polo,1.4 TDi Tour,Hatchback/5
Audi,A1,1.6 TDI Attraction,Hatchback/3
Volkswagen,Golf,1.0 TSi Midline Plus,Hatchback/5
Audi,A3,A3 Sedan 30 TDI Dynamic,Hatchback/5
Kia,EV3,Elegance Long,SUV
Audi,A7,50 TDI,Hatchback/5
Hyundai,Elantra,1.6 D-CVVT Mode Plus,Sedan
Audi,A5,A5 Coupe 1.4 TFSI Sport,Coupe
BMW,3 Serisi,320d Standart,Coupe
Mercedes - Benz,C,C 200 Elegance,Sedan
Seat,Ateca,1.5 EcoTSI FR,SUV
Fiat,Albea,Sole 1.3 Multijet Dynamic Plus,Sedan
Volkswagen,Tiguan,1.5 TSI Highline,SUV
Fiat,Bravo,1.6 Mjet Emotion,Hatchback/5
Peugeot,e-5008,Allure,SUV
Renault,Duster,1.6 E-Tech Techno,SUV
Skoda,Kodiaq,1.5 TSI Prestige,SUV
Citroen,C3 Aircross,1.2 PureTech Shine,SUV
Opel,Frontera-e,GS,SUV
Suzuki,Vitara,1.4 Boosterjet Hibrit GL Elegance,SUV
Fiat,Albea,Sole 1.3 Multijet Premio,Sedan
Mercedes - Benz,EQE,350+ AMG,Sedan
Toyota,C-HR,1.8 Hybrid Passion X-Sport,SUV
Dacia,Duster,1.3 Tce Prestige,SUV
Mercedes - Benz,E,200 Avantgarde,Sedan
Opel,Vectra,2.0 DTI Comfort,Sedan
Lexus,RX,500h,SUV
Peugeot,e-3008,GT,SUV
Kia,Sorento,2.5 CRDi EX,SUV
Toyota,Hilux,Hi-Cruiser 2.4 4x2,SUV
Nissan,Juke,1.6 Skypack,Crossover
Skoda,Karoq,1.6 TDI Style,SUV
Volvo,S90,2.0 D B5 Inscription,Sedan
Citroen,C1,1.0 VTi Shine,Hatchback/5
Nissan,Qashqai,1.2 DIG-T Black Edition,SUV
Honda,CR-V,1.6 i-DTEC Premium,SUV
MG,ZS,1.0 T-GDI Luxury Plus,SUV
BMW,4 Serisi,420i M Sport,Coupe
Hyundai,Tucson,1.6 T-GDi Prime Plus,SUV
Citroen,Xsara,1.6 SX,Station wagon
Audi,A4,A4 Sedan 2.0 TFSI Quattro,Sedan
Audi,A3,A3 Sedan 30 TFSI S-Line,Sedan
Hyundai,i20,1.2 MPI Jump,Hatchback/5
Jeep,Renegade,1.4 MultiAir Limited,SUV
BMW,3 Serisi,318i M Joy Plus,Sedan
BMW,2 Serisi,218i M Sport,MPV
BMW,Z Serisi,Z4 3.0i sDrive,Cabrio
Volkswagen,Polo,1.2 TDi BlueMotion,Hatchback/5
Cupra,Formentor,1.5 eTSI VZ-Line,SUV
Nissan,Juke,1.6 Sport Pack,SUV
BMW,1 Serisi,120i M Plus,Hatchback/5
Renault,Laguna,1.5 dCi Privilege,Hatchback/5
Fiat,Punto,Grande 1.3 Multijet Active,Hatchback/5
Hyundai,Getz,1.5 CRDi GL Cool,Hatchback/5
Fiat,Linea,1.3 Multijet Emotion Plus,Sedan
BMW,5 Serisi,520d Sport,Sedan
Volvo,S40,1.8,Sedan
Audi,A3,A3 Sportback 1.6 TDI Ambiente,Hatchback/3
Fiat,Albea,1.2 Dynamic,Sedan
Opel,Vectra,1.6 Elegance,Sedan
BMW,3 Serisi,318i M Sport,Station wagon
Audi,A4,A4 Sedan 45 TFSI Quattro S Line,Station wagon
Audi,A3,A3 Hatchback 1.4 TFSI Ambiente,Hatchback/3
Ford,Ranger,2.0 EcoBlue 4x4 XLT,Hard top
Fiat,Linea,1.3 Multijet Lounge,Sedan
Honda,Accord,1.5 VTEC Executive Plus,Sedan
Audi,TT,2.0 TFSI Quattro,Coupe
Audi,A5,A5 Sportback 2.0 TDI Quattro Design,Hatchback/5
Skoda,Fabia,1.0 Style,Hatchback/5
Audi,A3,A3 Sportback 1.6 Ambiente,Hatchback/3
Hyundai,i30,1.6 CRDi Mode,Hatchback/5
Seat,Alhambra,1.4 TSI Style,MPV
Opel,Astra,1.6 CDTI Dynamic,Station wagon
Audi,A3,A3 Sportback 35 TFSI Dynamic,Hatchback/5
Skoda,Octavia,1.0 e-Tec Premium,Hatchback/5
Fiat,Bravo,1.4 T-Jet Sports Style,Hatchback/5
Audi,A3,A3 Sportback 30 TDI Sport,Hatchback/5
Audi,A3,A3 Sportback 1.4 TFSI Attraction,Hatchback/5
Toyota,Hilux,2.4 D-4D 4x2 Adventure,Hard top
BMW,4 Serisi,418i Gran Coupe Ultimate M Sport,Coupe
Toyota,Corolla,1.6 Terra,Sedan
Volkswagen,Golf,1.6 Primeline,Hatchback/5
Audi,A6,A6 Sedan 45 TFSI Quattro Sport,Sedan
Toyota,Corolla,1.5 Flame X-Pack,Sedan
Ford,Ranger,2.0 EcoBlue 4x4 Wildtrak,Hard top
Volkswagen,Polo,1.4 Trendline,Hatchback/5
Audi,A4,A4 Sedan 40 TDI Advanced,Station wagon
Volkswagen,Polo,1.0 Life,Hatchback/5
Ford,Sierra,1.6 CL,Sedan
Renault,Scenic,1.5 dCi Privilege,MPV
Fiat,Egea Cross,1.6 Multijet Street,SUV
Ford,Focus,1.5 EcoBlue Active X,Station wagon
Mitsubishi,L 200,4x4 Intense,SUV
Chevrolet,Captiva,2.0 D LT High,SUV
Hyundai,i20,1.4 CVVT Jump,Hatchback/5
Cupra,Formentor,1.5 e-TSI Mhev Impulse,SUV
Seat,Toledo,1.6 Signo,Sedan
BMW,5 Serisi,520i Special Edition Luxury,Sedan
Nissan,Qashqai,1.5 dCi Tekna Pack,SUV
Audi,A4,A4 Sedan 2.0 TDI Dynamic,Sedan
Ford,Kuga,1.5 TDCi Titanium,SUV
Citroen,C4 X,1.2 PureTech Feel,SUV
Opel,Astra,1.6 Elegance,Sedan
Opel,Astra,1.6 CDTI Dynamic,Hatchback/5
Seat,Leon,1.5 eHybrid FR,Hatchback/5
Honda,Civic,1.5 i-VTEC Sport Plus,Hatchback/5
Ford,EcoSport,1.0 EcoBoost ST Line,SUV
Volvo,XC60,2.0 B4 Plus Dark,SUV
Volkswagen,Polo,1.4 Comfortline,Hatchback/5
Citroen,C4 Grand Picasso,1.6 e-HDi Dynamic,MPV
Skoda,Octavia,1.6 Elegance,Station wagon
Dacia,Logan,1.5 dCi Ambiance,Pick-up
Volkswagen,Amarok,2.0 Bi-TDI Highline,Hard top
Kia,Sportage,1.6 T-GDI Cool Plus,SUV
Peugeot,301,1.6 BlueHDI Allure,Sedan
BMW,5 Serisi,520d xDrive M Sport,Sedan
Hyundai,Bayon,1.0 T-GDI Jump,SUV
Renault,Megane,1.6 Joy,Sedan
DS Automobiles,DS4,1.5 BlueHDi Performance Line,Hatchback/5
Toyota,Avensis,2.0 Linea,Hatchback/5
Volkswagen,Taigo,1.0 TSI Style,SUV
Alfa Romeo,Giulietta,1.6 JTD Super TCT,Hatchback/5
Seat,Arona,1.0 EcoTSI FR,SUV
BYD,Atto 2,Comfort,SUV
Ford,Mustang,4.6 GT,Coupe
Toyota,Auris,1.4 D-4D Active,Hatchback/5
Seat,Toledo,1.6 Stella,Sedan
Renault,R 19,1.6 Europa iE,Hatchback/5
Fiat,Bravo,1.4 Active,Hatchback/5
Honda,Civic,1.5 i-VTEC Eco Elegance Plus,Sedan
DS Automobiles,DS4,1.5 BlueHDi Esprit de Voyage,Hatchback/5
Toyota,Yaris,1.33 Style,Hatchback/5
Volkswagen,T-Cross,1.0 TSI Style,SUV
Audi,A4,A4 Avant 1.4 TFSI,Station wagon
Honda,Civic,1.5 i-VTEC Eco Premium,Sedan
Audi,A3,A3 Sportback 1.0 TFSI Sport Line,Hatchback/5
Hyundai,i20 Troy,1.2 Mode,Hatchback/5
Opel,Astra,1.6 Enjoy Plus,Sedan
Peugeot,e-2008,GT,SUV
Toyota,C-HR,1.2 Turbo Dynamic,SUV
Renault,Megane,1.6 RTA,Sedan
Toyota,Yaris,1.0 Terra,Hatchback/5
Volkswagen,Golf,1.6 FSi Midline,Hatchback/5
Suzuki,Grand Vitara,1.9 DDiS JLX-AL,SUV
Renault,Symbol,1.4 Authentique,Sedan
Mercedes - Benz,A,A 200 BlueEFFICIENCY AMG Sport,Hatchback/5
Fiat,Egea Cross,1.5 T4 Lounge,SUV
Toyota,Yaris Cross,1.5 Dream X-Pack,SUV
Volvo,XC90,2.0 D5 Inscription,SUV
Mercedes - Benz,B,B 180 BlueEFFICIENCY AMG,MPV
Peugeot,308,1.6 HDi Comfort,Hatchback/5
Peugeot,301,1.6 HDi Allure,Sedan
Hyundai,Tucson,1.6 GDi Elite,SUV
BMW,1 Serisi,116d One Edition,Hatchback/5
Ford,Fiesta,1.5 TDCi Titanium X,Hatchback/5
Nissan,Qashqai,1.3 DIG-T Tekna,SUV
Fiat,Palio,1.6 HL,Hatchback/5
Skoda,Octavia,1.0 TSI Ambition,Hatchback/5
Volkswagen,Taigo,1.0 TSI R Line,SUV
Fiat,Egea,1.6 Multijet Easy Plus,Hatchback/5
Ford,Mondeo,1.6 Titanium,Station wagon
Mercedes - Benz,C,C 180 AMG 9G-Tronic,Sedan
Fiat,Punto,1.4 Pop S&S,Hatchback/5
Toyota,Corolla,1.6 Sol,Hatchback/5
Jeep,Compass,1.5 GSE Summit,SUV
Mitsubishi,Colt,1.3 Invite,Hatchback/5
Citroen,C3,1.4 HDi Exclusive,Hatchback/5
Volvo,XC60,2.0 D4 Inscription,SUV
Jeep,Avenger Hybrid,1.2 Summit,SUV
Audi,A3,A3 Sportback 1.6 TDI Design Line,Sedan
Kia,Cerato,1.5 CRDi Advance,Sedan
Hyundai,i20,1.0 T-GDI Style Plus,Hatchback/5
Opel,Corsa,1.3 CDTI Enjoy,Hatchback/5
Toyota,Avensis,2.0 Sol Extra,Sedan
Fiat,Linea,1.6 Multijet Active Plus,Sedan
Suzuki,Swift,1.3 MT 4X4,Hatchback/5
Kia,Sportage,1.6 T-GDI Elegance Konfor,SUV
Kia,Rio,1.4 CVVT Natty,Sedan
Audi,Q2,1.4 TFSI Sport S,SUV
Audi,Q3,2.0 TDI,SUV
Audi,Q4,E-Tron,SUV
Chery,Tiggo 8,1.6 TGDI Prestige,SUV
Fiat,Linea,1.6 Multijet Lounge,Sedan
Nissan,Micra,1.4 Tekna,Hatchback/5
BMW,X5,25d xDrive Premium,SUV
Skoda,Rapid,1.6 TDI Ambition,Sedan
BMW,X6,35d xDrive,SUV
Volkswagen,Arteon,1.5 TSI R Line,Hatchback/5
Peugeot,2008,1.2 PureTech Allure,SUV
Fiat,500 Ailesi,500L 1.6 Mjet PopStar,MPV
Opel,Astra,1.6 Enjoy,Hatchback/5
Renault,Megane,1.5 dCi Extreme,Sedan
Opel,Corsa,1.4 Design,Hatchback/5
Renault,Symbol,1.2 Authentique,Sedan
Fiat,Egea Cross,1.4 Fire Limited,SUV
Fiat,Brava,1.6 ELX,Hatchback/5
BMW,3 Serisi,330xi Standart,Sedan
Renault,Laguna,2.0 RXE,Hatchback/5
Toyota,Hilux,2.4 D-4D 4x4 Hi-Cruiser,Hard top
Renault,Megane,1.5 dCi Expression,Sedan
Renault,Captur,1.2 TCe Touch,SUV
Peugeot,3008,1.2 PureTech Elegance,SUV
Seat,Ateca,1.6 TDI Ecomotive Style,SUV
Fiat,500 Ailesi,500 1.0 Hybrid Dolcevita,Hatchback/3
Suzuki,Vitara,1.6 GL Plus,SUV
Seat,Leon,1.4 TSI Style,Hatchback/5
Seat,Cordoba,1.4 TDI Signo,Sedan
Opel,Corsa,1.2 Essentia,Hatchback/5
Fiat,Palio,1.6 HL Weekend,Station wagon
Audi,A6,A6 Sedan 2.7 T Quattro,Sedan
Skoda,Yeti,1.2 TSI Active,SUV
BMW,1 Serisi,116i Urban Line,Hatchback/5
Volkswagen,Tiguan,1.4 TSI Chrome Edition,SUV
BMW,1 Serisi,116d First Edition Sport Line,Hatchback/5
Fiat,Punto,Grande 1.4 Fire S&S,Hatchback/5
Fiat,Egea,1.3 Multijet Easy,Station wagon
Subaru,XV,1.6 Elegance,SUV
Renault,Captur,0.9 Icon,SUV
Toyota,Corolla,1.33 Comfort,Sedan
Hyundai,Tucson,1.6 T-GDi Elite,SUV
Mitsubishi,L 200,4x2 Invite,Hard top
Mercedes - Benz,B,B 180 BlueEFFICIENCY Sport,MPV
Kia,Ceed,1.0 Cool Tekno,Hatchback/5
Renault,Fluence,1.6 Extreme,Sedan
Renault,Megane,1.6 Dynamique,Hatchback/5
BMW,1 Serisi,118i Joy,Hatchback/5
Opel,Astra,1.4 T Enjoy Active,Hatchback/5
Alfa Romeo,Giulietta,1.6 JTD Distinctive,Hatchback/5
Nissan,Qashqai,1.2 DIG-T Sky Pack,SUV
Renault,Clio,1.6 Grandtour Extreme,Station wagon
Fiat,Palio,1.2 EL,Hatchback/3
Fiat,Egea,1.6 E-Torq Easy,Sedan
Fiat,Siena,1.2 S,Sedan
Audi,A5,A5 Coupe 1.4 TFSI Design,Coupe
Volvo,XC60,2.0 B5 Plus Dark,SUV
Fiat,Egea,1.4 Fire Lounge Plus,Hatchback/5
Audi,A3,A3 Sportback 1.6 TDI Ambition,Hatchback/3
Audi,A3,A3 Sedan 1.4 TFSI Ambition,Sedan
Audi,A6,A6 Sedan 1.8 T Advance,Sedan
Ford,Focus,1.5 TDCi Active,Hatchback/5
BMW,1 Serisi,116d Premium Line,Hatchback/5
Volvo,EX40,Extended Range Ultra,SUV
Fiat,Stilo,1.6 Dynamic,Hatchback/3
Audi,A6,A6 Avant 2.0 TDI Quattro,Station wagon
Volvo,XC90,2.0 T8 Inscription,SUV
Audi,S,S5 4.2 FSI Quattro,Coupe
Peugeot,207,1.4 HDi Trendy,Hatchback/5
Renault,Clio,1.2 TCE Touch,Hatchback/5
Fiat,Palio,1.4 EL Weekend,Station wagon
Peugeot,2008,1.2 PureTech Allure,-
Renault,Megane,1.6 Dynamique,Sedan
Ford,Focus,1.6 Ambiente,Sedan
Audi,A1,1.6 TDI Attraction,Hatchback/5
DS Automobiles,DS9,1.6 PureTech Rivoli,Sedan
Alfa Romeo,MiTo,1.4 T Distinctive,Hatchback/3
Nissan,Qashqai,1.5 dCi Tekna Premium Pack,SUV
Ford,Focus,1.6 Ti-VCT Titanium,Sedan
Opel,Mokka,1.2 T Ultimate,SUV
Hyundai,Tucson,1.6 CRDi Prime,SUV
BMW,3 Serisi,318i M Sport,Sedan
Opel,Astra,1.6 Cosmo,Hatchback/5
Renault,Clio,1.2 Authentique,Hatchback/5
Peugeot,2008,1.2 PureTech Active,SUV
Tofaş,Şahin,1.4,Sedan
Audi,A6,A6 Sedan 2.8 Quattro,Sedan
Kia,Cerato,1.6 MPI Elegance,Sedan
MG,ZS,1.0 T-GDI Comfort,SUV
Honda,Civic,1.6 i ES,Hatchback/5
Renault,Clio,1.3 TCe Icon,Hatchback/5
Chevrolet,Aveo,1.3 D LS,Hatchback/5
BMW,3 Serisi,318i Sport Plus,Sedan
Volkswagen,ID.4,Pure,SUV
Fiat,Egea Cross,1.0 Firefly Lounge,SUV
Skoda,Octavia,1.6 TDI Elegance,Station wagon
Opel,Vectra,1.6 GL,Sedan
Hyundai,i20 Troy,1.2 DOHC Team,Hatchback/5
Mitsubishi,ASX,1.6 DI-D Intense,SUV
Renault,Captur,1.3 TCe Touch,SUV
Renault,Megane,1.6 Expression,Sedan
Chevrolet,Aveo,1.4 LS,Hatchback/5
Audi,A2,1.4 TDI,Hatchback/5
Toyota,Avensis,2.0 Sol,Sedan
Mercedes - Benz,A,A 180 CDI BlueEfficiency AMG,Hatchback/5
Renault,Clio,1.4 Authentique,Sedan
Opel,Grandland X,1.6 D EcoTEC Excellence,SUV
BMW,2 Serisi,216d Gran Tourer Luxury Plus,MPV
BMW,1 Serisi,118i One Edition,Hatchback/5
Peugeot,508,1.6 e-HDi Access,Sedan
Honda,Civic,1.5 EX,Hatchback/3
Opel,Corsa,1.4 Enjoy,Hatchback/5
Opel,Astra,1.6 Essentia Konfor,Hatchback/5
Volkswagen,Amarok,2.0 TDI Highline,SUV
Peugeot,2008,1.5 BlueHDI Allure,SUV
BMW,1 Serisi,116d M Plus,Hatchback/5
Peugeot,2008,1.5 BlueHDI Active Skypack,SUV
Ford,Fiesta,1.25 Trend,Hatchback/5
Isuzu,D-Max,1.9 D 4x4 V-Cross,Hard top
Peugeot,208,1.6 e-HDI Allure,Hatchback/5
Volvo,XC90,2.0 B5 Plus Dark,SUV
Fiat,Palio,1.3 Multijet EL,Hatchback/3
Volvo,XC40,1.5 T2 Plus Bright,SUV
BMW,2 Serisi,230e xDrive M Sport,MPV
Renault,Megane,1.5 dCi GT-Line,Hatchback/5
Renault,Megane,1.5 dCi Touch Plus,Sedan
Hyundai,Kona,1.6 CRDI Style,SUV
BMW,1 Serisi,116d Sport Plus,Hatchback/5
Kia,Sportage,1.6 CRDI Elegance,SUV
Fiat,500 Ailesi,500E La Prima,Hatchback/5
Renault,Laguna,1.6 Privilege,Hatchback/5
Volkswagen,Tiguan,1.6 TDi Comfortline,SUV
Renault,Megane,1.6 Authentique,Hatchback/5
Volkswagen,Golf,1.6 Comfortline,Hatchback/5
BMW,3 Serisi,320d xDrive Techno Plus,Sedan
MG,HS,1.5 T-GDI Comfort,SUV
Renault,Megane,1.6 Joy,Hatchback/5
BMW,3 Serisi,316i Modern Line,Sedan
Audi,S,S6 3.0 TDI Quattro,Sedan
Hyundai,Tucson,1.6 CRDi N Line,SUV
Suzuki,Jimny,1.3 JLX,SUV
Opel,Astra,1.4 T Dynamic,Hatchback/5
MG,ZS EV,Luxury,SUV
Mitsubishi,Lancer,1.6 Invite,Sedan
Peugeot,307,1.6 Comfort,Hatchback/5
Opel,Corsa,1.0 Essentia,Hatchback/5
BMW,3 Serisi,320d xDrive Edition M Sport,Sedan
Chery,Tiggo 7 Pro Max,Intelligent,SUV
BMW,4 Serisi,430i xDrive M Sport,Coupe
Citroen,C4,1.6 HDi Easy,Hatchback/5
BMW,2 Serisi,220i Active Tourer M Sport,MPV
Fiat,Panda,1.2 Fire City Cross,Hatchback/5
Dacia,Logan,1.6 MCV Ambiance,Station wagon
Toyota,Corolla,1.6 Sol,Sedan
Fiat,Punto,1.3 Multijet Popstar,Hatchback/5
Renault,Megane,1.6 Authentique,Sedan
Mercedes - Benz,GLC,180 AMG,SUV
Renault,Clio,1.6 Extreme Edition,Hatchback/5
Volkswagen,Amarok,2.0 TDI Style Plus,Hard top
Honda,Civic,1.6 i ES,Sedan
Peugeot,508,1.6 THP Access,Sedan
Toyota,C-HR,1.8 Hybrid Dynamic,SUV
Fiat,Egea,1.6 Multijet Mirror,Hatchback/5
Fiat,Punto,1.3 Multijet Easy,Hatchback/5
Fiat,Linea,1.6 Multijet Dynamic Plus,Sedan
BMW,3 Serisi,318i Luxury Line,Sedan
Peugeot,106,XR,Hatchback/3
Opel,Corsa,1.4 Color Edition,Hatchback/5
Skoda,Scala,1.5 TSI Monte Carlo,Hatchback/5
BMW,2 Serisi,230e xDrive Active Tourer Luxury Line,MPV
Land Rover,Range Rover,3.0 TDV6 Autobiography,SUV
Fiat,Egea,1.6 Multijet Lounge,Hatchback/5
Fiat,Siena,1.4 EL,Sedan
Opel,Astra,1.6 Essentia,Hatchback/5
Peugeot,3008,1.5 BlueHDI Active SkyPack,SUV
Toyota,Camry,2.4,Sedan
Citroen,C3,1.4 e-HDi Confort,Hatchback/5
Opel,Astra,1.6 Enjoy,-
BMW,1 Serisi,118i Sport Plus,Hatchback/5
Kia,Sportage,1.6 T-GDI Prestige Plus,SUV
Volkswagen,Tiguan,1.4 TSI Highline,SUV
Seat,Arona,1.0 EcoTSI Xperience,SUV
Ford,C-Max,1.6 TDCi Trend,MPV
Dacia,Jogger,1.0 TCe Extreme,MPV
BMW,2 Serisi,216d Gran Tourer Gran Tourer,MPV
Skoda,Kodiaq,1.5 TSI GreenTec Prestige,SUV
Opel,Corsa,1.2 Edition,Hatchback/5
Peugeot,206+,1.4 Envy,Hatchback/5
Fiat,Egea,1.6 E-Torq Urban Plus,Hatchback/5
Audi,A3,A3 Hatchback 1.6 Attraction,Hatchback/3
BMW,2 Serisi,218i M Sport,Cabrio
Peugeot,2008,1.5 BlueHDI GT,SUV
Mercedes - Benz,EQS,450+,Sedan
Toyota,Hilux,GR Sport 2.8 4x4,SUV
Hyundai,Ioniq 5,Dynamic,SUV
BMW,3 Serisi,320i,Coupe
Opel,Corsa,1.5 CDTI Edition,Hatchback/5
Fiat,Punto,1.4 Lounge S&S,Hatchback/5
Fiat,Palio,1.2 SL,Hatchback/5
Citroen,Saxo,1.4 SX,Hatchback/5
Citroen,C5,1.6 HDi Executive,Sedan
Jeep,Renegade,1.6 MultiJet Longitude,SUV
Mercedes - Benz,GLA,200 Urban,SUV
Fiat,500 Ailesi,500L 1.3 Mjet Cross,MPV
Fiat,Punto,Grande 1.3 Multijet Active,Hatchback/3
Honda,City,1.4 LS,Sedan
BMW,4 Serisi,418i M Sport,Coupe
Ssangyong,Musso Grand,2.2 D Platinum,Hard top
Ford,Fiesta,1.4 TDCi Collection,Hatchback/5
Fiat,Punto,Grande 1.3 Multijet Emotion,Hatchback/3
Honda,Civic,1.6 Elegance,Sedan
Mercedes - Benz,ML,320 CDI,SUV
Fiat,Linea,1.3 Multijet Emotion,Sedan
BMW,3 Serisi,318i Edition Luxury Line,Sedan
Renault,Megane,1.6 Authentique,Hatchback/3
BMW,4 Serisi,418i Prestige,Coupe
Honda,Civic,1.6 Premium,Sedan
BMW,3 Serisi,316i Technology,Sedan
Opel,Insignia,1.6 T Cosmo,Hatchback/5
Seat,Leon,1.6 TDI CR Style,Station wagon
BMW,2 Serisi,216d Active Tourer Sport Line,MPV
Fiat,Egea,1.6 E-Torq Lounge Plus,Sedan
Mazda,3,1.6 Touring,Sedan
Audi,A5,A5 Coupe 45 TFSI Quattro S Line,Coupe
Volkswagen,Polo,1.0 Trendline,Hatchback/5
Fiat,Egea,1.6 Multijet Lounge Plus,Sedan
Opel,Insignia,2.0 CDTI CDTi,Hatchback/5
BMW,3 Serisi,316i Advantage,Sedan
Cupra,Formentor,1.5 eHybrid Phev Supreme,SUV
Fiat,Palio,1.6 Sporting,Hatchback/5
Audi,A1,1.6 TDI Ambition,Hatchback/3
Hyundai,Ioniq,1.6 GDI Elite Plus,Hatchback/5
BMW,i Serisi,i5 xDrive40 M Sport,Sedan
BMW,2 Serisi,218i Gran Coupe First Edition M Sport,Coupe
Hyundai,i20,1.2 MPI Team,Hatchback/5
BMW,3 Serisi,318i Sport Line,Sedan
Dacia,Lodgy,1.5 dCi Stepway,MPV
Fiat,Palio,1.4 Fire Active Sole,Hatchback/5
Renault,Clio,1.4 Authentique,Hatchback/5
Dacia,Jogger,1.0 Eco-G Extreme,MPV
Fiat,Egea,1.6 Multijet Street,Hatchback/5
Fiat,Albea,1.2 Active,Sedan
Fiat,Punto,EVO 1.4 Fire Dynamic,Hatchback/5
Fiat,Egea,1.5 T4 Urban,Sedan
Chery,Tiggo 7 Pro,1.6 TGDI Avantgarde,SUV
Hyundai,Ioniq 5,Progressive,SUV
Chery,Omoda 5 Pro,1.6 T-GDI Intelligent,SUV
Fiat,Palio,1.2 EL Weekend,Station wagon
BMW,4 Serisi,420d xDrive Gran Coupe M Sport,Coupe
Audi,A5,A5 Sportback 2.0 TFSI Quattro,Sedan
Peugeot,2008,1.6 e-HDi Active,SUV
BMW,3 Serisi,318i Pure,Sedan
BMW,5 Serisi,525d xDrive Executive Plus,Sedan
Nissan,Qashqai,1.6 dCi Black Edition,SUV
BMW,6 Serisi,640d Gran Coupe,Coupe
BMW,7 Serisi,730d Long Standart,Sedan
Volvo,V90 Cross Country,2.0 B5 Plus Bright,Station wagon
Mitsubishi,Space Star,1.2 Invite,Hatchback/5
Dacia,Duster,1.5 BlueDCI Comfort,-
Dacia,Sandero Stepway,1.0 Tce Extreme,Hatchback/5
Dacia,Duster,1.0 Tce ECO-G Prestige,SUV
BMW,i Serisi,i4 eDrive 40 Edition M Sport,Hatchback/5
Peugeot,e-3008,Allure,SUV
Opel,Astra,1.2 T Ultimate,Hatchback/5
Opel,Astra,1.6 Enjoy,Sedan
Volkswagen,Amarok,3.0 TDI Panamericana,Hard top
Opel,Corsa,1.2 Twinport Enjoy,Hatchback/5
Toyota,Hilux,2.4 D-4D 4x4 Invincible,Pick-Up
Chevrolet,Lacetti,1.6 SX,Hatchback/5
Fiat,Tipo,1.6 SLX ie,Hatchback/5
Opel,Corsa,1.4 Twinport Essentia,Hatchback/5
Fiat,Tipo,1.4 S,Hatchback/5
BMW,3 Serisi,318is,Sedan
Mazda,6,2.0 Sport,Sedan
Fiat,Punto,EVO 1.4 Active,Hatchback/5
Fiat,Idea,1.4 Active,MPV
BMW,3 Serisi,320d xDrive GT Sport Line,Hatchback/5
Fiat,Punto,1.3 Multijet Pop,Hatchback/5
Citroen,C2,1.4 SX,Hatchback/3
Kia,Rio,1.5 CRDi Trend,Sedan
Audi,A3,A3 Sedan 30 TDI Design,Sedan
Opel,Astra,1.3 CDTI Cosmo,Sedan
Land Rover,Range Rover,4.6 Vogue,SUV
Hyundai,Bayon,1.4 MPI Style,SUV
Mercedes - Benz,GLC Coupe,250 d AMG,SUV
Toyota,Corolla,1.4 D-4D Terra,Hatchback/5
Fiat,500 Ailesi,500 1.2 Lounge,Hatchback/3
Suzuki,Vitara,1.6 GLX,SUV
Nissan,Juke,1.5 dCi Tekna,SUV
Skoda,SuperB,1.5 TSI Elite,Sedan
Fiat,500 Ailesi,500L 1.3 Mjet Panoramic Edition,MPV
Mitsubishi,L 200,4x4 Tornado,SUV
Hyundai,Tucson,1.6 CRDi Style,SUV
Opel,Astra,1.6 CDTI Edition,Sedan
Audi,A5,A5 Sportback 2.0 TDI Quattro Sport,Hatchback/5
Opel,Corsa,1.3 CDTI Color Edition,Hatchback/5
Kia,Stonic,1.4 MPI Elegance,SUV
BMW,5 Serisi,520Li,Sedan
Audi,A6,E-Tron,Station wagon
Audi,A3,A3 Sportback 35 TFSI Sport,Hatchback/5
Mitsubishi,L 200,4x2 Storm,Hard top
Peugeot,3008,1.5 BlueHDI Active Life Prime Edition,SUV
Fiat,Linea,1.6 Multijet Urban,Sedan
